name,MW,logP,Hdonor,Hakceptor
DB02924,152.237000,2.520100,0.000000,1.000000
DB03749,270.292000,2.440400,4.000000,4.000000
DB07955,286.125000,1.561900,1.000000,4.000000
DB02572,1794.926000,-4.504500,17.000000,41.000000
DB04254,343.362000,2.667200,1.000000,7.000000
DB07004,279.365000,1.560000,3.000000,3.000000
DB08909,530.661000,6.053300,0.000000,6.000000
DB08280,386.492000,2.649000,2.000000,4.000000
DB09561,234.052000,-9.631800,2.000000,6.000000
DB08629,225.380000,1.487400,1.000000,3.000000
DB00606,389.886000,1.229500,3.000000,5.000000
DB00707,1676.040000,13.477020,11.000000,14.000000
DB02838,113.116000,-2.948300,1.000000,2.000000
DB01263,700.791000,4.573200,1.000000,12.000000
DB06743,408.403000,-0.340300,2.000000,9.000000
DB06914,292.766000,2.912400,0.000000,4.000000
DB01563,165.403000,0.667300,2.000000,2.000000
DB05383,110.548000,-5.579300,3.000000,1.000000
