name,smiles
DB04178,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
DB00727,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
DB01999,[O-]S(O)(O)c1ccc(-c2c3ccc(n3)c(-c3ccc(S([O-])(O)O)cc3)c3ccc([nH]3)c(-c3ccc(S([O-])(O)O)cc3)c3ccc([nH]3)c(-c3ccc(S([O-])(O)O)cc3)c3ccc2n3)cc1
DB02679,N#CN
DB02846,O=C(O)C1CSCN1
DB02335,NC1=NCCS1
DB04369,OB1OCCO1
DB01803,C[N+](C)(C)CCS
DB02486,OCCSSCCO
DB04085,O=C1C=CC(=O)N1COCN1C(=O)C=CC1=O
DB08628,C=CC=CC1(C)SC(=O)C(C)=C1O
DB04278,CC(NC(=O)CNC(=O)C(NC(=N)N)C1CCCCC1)C(=O)NCCCS
DB06335,N#CC1CC2CC2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2
DB09049,C=CCN1CCC23c4c5ccc(O)c4OC2C(OCCOCCOCCOCCOCCOCCOCCOC)CCC3(O)C1C5
DB04462,Brc1c(Br)c(Br)c2n[nH]nc2c1Br
DB09117,CC1OC(C)OC(C)O1
DB00441,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
DB00711,CCN(CC)C(=O)N1CCN(C)CC1
DB01563,OC(O)C(Cl)(Cl)Cl
DB02048,NC(=[NH2+])n1cncn1
DB03724,CC(O)C(N)c1nccs1
DB04320,C=C(Br)CO
DB08993,N=C(O)NC=C1N=C(O)C(CO)N=C(O)C(CO)N=C(O)C(N=C(O)CC(N)C(O)CCN)CN=C(O)C(C2CCNC(=N)N2)N=C1O
DB01849,O=C1CCNC(=O)N1
DB03153,Oc1ncnc2c1N=NC2
DB07142,COc1cc(-c2cc(C)cc(C)c2)cc(C(C)C#Cc2c(C)nc(N)nc2N)c1
DB02311,CSCS(C)=O
DB03460,CC(C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C)=CC=CC=C(C)C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C
DB07360,O=C(Nc1cccc(C(F)(F)F)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1
DB03445,CC(Cn1ccnn1)(C(NC=CC=O)C(=O)O)[S](=O)=O
