ID,SA
CHEMBL876,100.000000
CHEMBL543650,170.000000
CHEMBL350729,190.000000
CHEMBL6,200.000000
CHEMBL2111719,330.000000
CHEMBL61731,410.000000
CHEMBL64337,500.000000
CHEMBL2079592,650.000000
CHEMBL62572,700.000000
CHEMBL64435,800.000000
CHEMBL35313,800.000000
CHEMBL60994,800.000000
CHEMBL325065,820.000000
CHEMBL299794,850.000000
CHEMBL62916,1200.000000
CHEMBL64490,1500.000000
CHEMBL543891,1600.000000
CHEMBL278246,1900.000000
CHEMBL16977,2500.000000
CHEMBL3144723,3000.000000
CHEMBL109501,3500.000000
CHEMBL64064,3900.000000
CHEMBL325315,4600.000000
CHEMBL65490,5200.000000
CHEMBL64076,5700.000000
CHEMBL292884,5700.000000
CHEMBL162840,6000.000000
CHEMBL297733,6100.000000
CHEMBL148962,7000.000000
CHEMBL347975,9300.000000
CHEMBL435456,10200.000000
CHEMBL81199,13400.000000
CHEMBL178896,14000.000000
CHEMBL175150,15900.000000
CHEMBL292118,18000.000000
CHEMBL150783,22000.000000
CHEMBL293858,25000.000000
CHEMBL276725,30000.000000
CHEMBL357141,30000.000000
CHEMBL347053,30000.000000
CHEMBL287012,40000.000000
CHEMBL432054,50000.000000
CHEMBL52,50000.000000
CHEMBL93046,50000.000000
CHEMBL93598,50000.000000
CHEMBL418227,100000.000000
CHEMBL3144719,100000.000000
CHEMBL3144575,400000.000000
CHEMBL306135,500000.000000
CHEMBL76126,1000000.000000
CHEMBL65140,1.000000
CHEMBL60496,2.500000
CHEMBL291543,9.500000
CHEMBL177727,10.000000
CHEMBL435907,30.000000
CHEMBL369252,30.000000
CHEMBL527,100.000000
CHEMBL176844,180.000000
CHEMBL65130,200.000000
CHEMBL62632,240.000000
CHEMBL368546,310.000000
CHEMBL64182,340.000000
CHEMBL62723,410.000000
CHEMBL553736,450.000000
CHEMBL139,500.000000
CHEMBL6,500.000000
CHEMBL280226,600.000000
CHEMBL331793,670.000000
CHEMBL35969,700.000000
CHEMBL12483,780.000000
CHEMBL356510,900.000000
CHEMBL302155,1000.000000
CHEMBL151309,1100.000000
CHEMBL12302,1500.000000
CHEMBL47223,1700.000000
CHEMBL15904,2100.000000
CHEMBL17091,2200.000000
