ID,MW,logP,HBD,HBA
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL8562,302.414000,4.317500,1.000000,3.000000
CHEMBL8562,302.414000,4.317500,1.000000,3.000000
CHEMBL8562,302.414000,4.317500,1.000000,3.000000
CHEMBL435907,409.873000,4.179000,1.000000,5.000000
CHEMBL293617,378.334000,4.471100,1.000000,3.000000
CHEMBL62772,388.854000,4.839200,1.000000,2.000000
CHEMBL12532,336.526000,5.227600,1.000000,5.000000
CHEMBL60136,358.422000,4.551800,1.000000,3.000000
CHEMBL16659,322.499000,4.794400,2.000000,5.000000
CHEMBL299794,353.394000,5.630090,2.000000,4.000000
CHEMBL368148,437.499000,4.739420,1.000000,5.000000
CHEMBL301990,345.284000,4.391980,2.000000,6.000000
CHEMBL12594,331.456000,4.164300,1.000000,3.000000
CHEMBL295829,372.808000,3.348120,2.000000,5.000000
CHEMBL150170,229.279000,3.475860,1.000000,3.000000
CHEMBL173939,390.443000,3.366220,2.000000,5.000000
CHEMBL417022,368.314000,5.852620,2.000000,5.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL316040,385.851000,3.981500,1.000000,5.000000
CHEMBL35178,295.176000,3.958300,0.000000,2.000000
CHEMBL61065,375.453000,3.950720,1.000000,4.000000
CHEMBL542464,397.976000,4.283900,3.000000,5.000000
CHEMBL94851,348.537000,5.297800,2.000000,5.000000
CHEMBL12234,289.379000,3.477900,3.000000,4.000000
CHEMBL17344,382.363000,4.075300,1.000000,4.000000
CHEMBL286450,202.253000,2.805700,0.000000,2.000000
CHEMBL151433,285.387000,5.105820,1.000000,3.000000
CHEMBL176668,438.915000,4.347300,2.000000,5.000000
CHEMBL304663,346.308000,3.119000,1.000000,2.000000
CHEMBL65535,325.195000,4.506620,2.000000,3.000000
CHEMBL149945,359.017000,4.384020,1.000000,3.000000
CHEMBL42593,387.823000,3.570120,2.000000,5.000000
CHEMBL162358,318.377000,2.462100,2.000000,6.000000
CHEMBL413482,276.313000,2.967700,0.000000,5.000000
CHEMBL316996,274.338000,2.191500,1.000000,6.000000
CHEMBL92758,250.319000,3.297400,1.000000,4.000000
CHEMBL3144720,239.278000,2.081320,1.000000,3.000000
CHEMBL74825,317.772000,3.258800,1.000000,4.000000
CHEMBL64342,331.372000,2.605720,1.000000,4.000000
CHEMBL64051,355.397000,3.694820,1.000000,3.000000
CHEMBL307591,241.290000,2.034600,2.000000,3.000000
CHEMBL267473,232.239000,1.660300,1.000000,4.000000
CHEMBL165090,309.749000,3.683220,1.000000,4.000000
CHEMBL78263,243.306000,1.885300,3.000000,3.000000
CHEMBL306178,288.734000,2.181000,2.000000,3.000000
CHEMBL304489,448.028000,6.221600,1.000000,3.000000
CHEMBL65330,396.509000,3.462400,3.000000,5.000000
CHEMBL264200,443.425000,4.376420,1.000000,5.000000
CHEMBL35511,264.752000,4.410200,0.000000,2.000000
CHEMBL545288,355.935000,4.386200,2.000000,5.000000
CHEMBL34649,230.307000,3.504220,0.000000,2.000000
CHEMBL62101,394.402000,4.830000,1.000000,3.000000
CHEMBL177727,403.482000,4.224120,1.000000,5.000000
CHEMBL53610,360.204000,4.988400,2.000000,6.000000
CHEMBL174976,391.427000,3.665420,1.000000,6.000000
CHEMBL331069,288.391000,4.345620,1.000000,4.000000
CHEMBL149278,313.441000,5.454020,1.000000,3.000000
CHEMBL64759,414.571000,4.963200,1.000000,4.000000
CHEMBL113138,454.549000,2.018300,4.000000,6.000000
CHEMBL75896,283.303000,-1.671800,1.000000,4.000000
CHEMBL174684,405.454000,4.053920,1.000000,6.000000
CHEMBL50833,297.383000,4.385740,2.000000,5.000000
CHEMBL418665,347.330000,3.489320,1.000000,5.000000
CHEMBL49249,346.496000,3.674600,2.000000,3.000000
CHEMBL410500,401.850000,4.131120,2.000000,5.000000
CHEMBL35129,285.170000,4.502600,0.000000,2.000000
CHEMBL295829,372.808000,3.348120,2.000000,5.000000
CHEMBL123459,289.379000,3.619400,2.000000,5.000000
CHEMBL13184,421.457000,1.309200,1.000000,9.000000
CHEMBL18132,370.408000,5.255600,2.000000,4.000000
CHEMBL64738,377.350000,3.664600,1.000000,3.000000
CHEMBL113211,331.481000,4.217900,2.000000,3.000000
CHEMBL64403,416.384000,3.861700,1.000000,5.000000
CHEMBL64399,340.382000,3.991400,1.000000,2.000000
CHEMBL33959,190.242000,2.346600,0.000000,2.000000
CHEMBL304647,442.475000,4.649000,1.000000,5.000000
CHEMBL276916,306.431000,4.325900,2.000000,5.000000
CHEMBL113908,363.548000,4.866100,2.000000,4.000000
CHEMBL64422,354.409000,4.185800,1.000000,2.000000
CHEMBL93712,362.524000,4.882880,2.000000,7.000000
CHEMBL59748,363.348000,3.426920,1.000000,4.000000
CHEMBL123210,345.443000,4.733500,1.000000,6.000000
CHEMBL176200,475.545000,4.157420,1.000000,7.000000
CHEMBL54453,271.316000,2.655700,1.000000,3.000000
CHEMBL3144582,259.696000,2.426300,1.000000,3.000000
CHEMBL62291,379.441000,3.320000,1.000000,5.000000
CHEMBL302414,366.377000,2.982000,1.000000,5.000000
CHEMBL1984519,224.263000,2.377900,1.000000,2.000000
CHEMBL65430,235.327000,2.836200,1.000000,2.000000
CHEMBL303303,367.405000,3.450500,1.000000,4.000000
CHEMBL50,302.238000,1.988000,5.000000,7.000000
CHEMBL91982,190.198000,2.226300,2.000000,2.000000
CHEMBL50,302.238000,1.988000,5.000000,7.000000
CHEMBL34578,226.231000,2.520700,1.000000,3.000000
CHEMBL328432,349.452000,3.234300,0.000000,6.000000
CHEMBL262539,424.888000,4.101300,2.000000,5.000000
CHEMBL1021,254.289000,1.527600,2.000000,3.000000
CHEMBL284584,134.134000,1.148100,0.000000,2.000000
