name,activity
CHEMBL3319220,0.31
CHEMBL558181,200
CHEMBL204352,110
CHEMBL3319280,27
CHEMBL1078533,1715
CHEMBL2163475,1640
CHEMBL3581040,2.8
CHEMBL223323,470
CHEMBL392663,63
CHEMBL278623,22.9
CHEMBL1081483,25
CHEMBL2048816,86
CHEMBL187427,98
CHEMBL3319408,7.2
CHEMBL3319405,6.7
CHEMBL1082190,123
CHEMBL382853,38
CHEMBL3645262,8.6
CHEMBL3319275,76
CHEMBL2164828,1390
CHEMBL3218888,44
CHEMBL3319398,0.24
CHEMBL2011889,10000
CHEMBL212046,1000
CHEMBL359714,3100
CHEMBL249638,11
CHEMBL3319399,0.57
CHEMBL207268,276
CHEMBL2164493,1160
CHEMBL1078402,474
CHEMBL3218884,7.3
CHEMBL213703,72
CHEMBL2163348,771
CHEMBL203948,186
CHEMBL2163469,10000
CHEMBL2048823,204
CHEMBL384524,47
CHEMBL2113322,13
CHEMBL1081301,42.2
CHEMBL203019,137
CHEMBL391859,560
CHEMBL279822,20.1
CHEMBL365460,15
CHEMBL374757,140
CHEMBL2164508,129
CHEMBL3319212,13
CHEMBL221723,1000
CHEMBL241242,59
CHEMBL2048822,90
CHEMBL1079091,16
CHEMBL204564,57
CHEMBL180755,106
CHEMBL361366,7600
CHEMBL2011892,2
CHEMBL204511,13
CHEMBL205136,9.2
CHEMBL2011830,10000
CHEMBL392902,275
CHEMBL1080735,4.1
CHEMBL374920,140
CHEMBL3581048,100
CHEMBL2011824,79
CHEMBL413856,580
CHEMBL362595,4500
CHEMBL375972,78
CHEMBL205294,36
CHEMBL3319229,1.3
CHEMBL3586023,11
CHEMBL422461,55
CHEMBL2164501,64
CHEMBL182542,132
CHEMBL3218645,0.12
CHEMBL2163453,8170
CHEMBL2170691,1000
CHEMBL401468,51
CHEMBL377514,0.4
CHEMBL3319221,0.15
CHEMBL2011828,12
CHEMBL181739,4000
CHEMBL3581042,2
CHEMBL428314,120
CHEMBL208374,67
CHEMBL222610,96
CHEMBL376735,150
CHEMBL3586030,5.4
CHEMBL205374,5.4
CHEMBL240179,759
CHEMBL2113323,29
CHEMBL447444,1000
CHEMBL1080320,65
CHEMBL434573,150
CHEMBL3586021,150
CHEMBL183916,160
CHEMBL205470,1.2
CHEMBL3218913,4.8
CHEMBL401260,220
CHEMBL2164830,111
CHEMBL205963,65
CHEMBL203782,21
CHEMBL3799225,3
CHEMBL3581034,84
CHEMBL2164495,1180
CHEMBL399653,112
CHEMBL223725,11
CHEMBL1079624,12.7
CHEMBL363930,25
CHEMBL3586033,0.23
CHEMBL3218898,5
CHEMBL434738,170
CHEMBL3319226,8.8
CHEMBL1079107,21
CHEMBL211188,126
CHEMBL1088037,42
CHEMBL3645257,2
CHEMBL3581037,380
CHEMBL182035,4.2
CHEMBL2048820,4.6
CHEMBL1078699,161
CHEMBL208477,6.9
CHEMBL3319219,0.33
CHEMBL374917,1000
CHEMBL379191,18
CHEMBL202642,43
CHEMBL399446,108
CHEMBL393693,38
CHEMBL109035,1100
CHEMBL383454,10
CHEMBL1081212,26
CHEMBL185399,39
CHEMBL368034,11
CHEMBL2048808,2980
CHEMBL3799776,2
CHEMBL277376,7
CHEMBL3218648,16
CHEMBL205521,1.5
CHEMBL443560,600
CHEMBL375150,410
CHEMBL427076,550
CHEMBL1079873,310
CHEMBL275141,16.9
CHEMBL2113320,350
CHEMBL204880,199
CHEMBL3218911,52
CHEMBL266199,420
CHEMBL2164496,10000
CHEMBL180096,15
CHEMBL2163459,10000
CHEMBL2011820,171
CHEMBL401467,34
CHEMBL1087908,12.2
CHEMBL1078900,8
CHEMBL1079622,37.2
CHEMBL180722,18500
CHEMBL249639,1.9
CHEMBL210173,10000
CHEMBL2164497,220
CHEMBL61663,889
CHEMBL2048821,298
CHEMBL2048813,102
CHEMBL2048810,86
CHEMBL2163481,3740
CHEMBL3319403,15
CHEMBL206091,300
CHEMBL221517,1000
CHEMBL2011887,50
CHEMBL205660,2.8
CHEMBL2011831,8
CHEMBL380971,2.7
CHEMBL382033,5.5
CHEMBL383522,0.2
CHEMBL2163445,10000
CHEMBL323026,1600
CHEMBL185028,162
CHEMBL2011825,0.2
CHEMBL111780,100000
CHEMBL2011822,26
CHEMBL1082210,147
CHEMBL110900,8200
CHEMBL376471,22
CHEMBL3319218,5.1
CHEMBL2164834,251
CHEMBL206486,2.4
CHEMBL205568,50
CHEMBL211581,2270
CHEMBL3218891,6.1
CHEMBL2426678,37.15
CHEMBL385803,60
CHEMBL205445,2.8
CHEMBL377515,7.5
CHEMBL223638,640
CHEMBL359530,250
CHEMBL178494,4700
CHEMBL211211,88
CHEMBL181736,41
CHEMBL1078498,263
CHEMBL2163455,10000
CHEMBL1080938,20
CHEMBL1082211,6
CHEMBL2164831,72
CHEMBL363896,147
CHEMBL3581036,130
CHEMBL2011832,2.5
CHEMBL212354,56
CHEMBL204835,37
CHEMBL294324,8.12
CHEMBL426905,570
CHEMBL3319400,0.43
CHEMBL3218907,60
CHEMBL381159,192
CHEMBL212415,70
CHEMBL3218908,980
CHEMBL205784,7.7
CHEMBL249659,160
CHEMBL207754,10
CHEMBL394179,1000
CHEMBL3319279,44
CHEMBL205896,13
CHEMBL400175,0.7
CHEMBL3218915,27
CHEMBL425594,0.3
CHEMBL3319211,8.7
CHEMBL1082044,444
CHEMBL2164507,1
CHEMBL240522,54
CHEMBL1079046,30
CHEMBL2163454,10000
CHEMBL3580668,73
CHEMBL374643,6
CHEMBL399652,1000
CHEMBL3319225,0.67
CHEMBL3586020,84
CHEMBL2163443,10000
CHEMBL205847,279
CHEMBL2163460,10000
CHEMBL207792,49
CHEMBL206673,248
CHEMBL363021,103
