name,HA,HD,mw,lp,tpsa,rb,ha
CHEMBL2011825,8,2,572.681000,5.126120,90.980000,8,42
CHEMBL111780,9,3,495.587000,3.648100,121.100000,10,37
CHEMBL2011822,9,2,570.690000,4.687200,100.210000,9,42
CHEMBL1082210,5,1,441.506000,4.960700,56.410000,3,33
CHEMBL110900,8,1,539.709000,4.415900,81.250000,11,39
CHEMBL376471,9,5,589.744000,5.610200,126.640000,12,44
CHEMBL3319218,9,2,560.101000,3.304100,111.710000,7,37
CHEMBL2164834,6,2,447.366000,2.861120,64.680000,4,30
CHEMBL206486,7,5,433.484000,3.164200,123.990000,6,30
CHEMBL205568,6,5,411.509000,4.636900,99.080000,8,31
CHEMBL211581,7,5,363.421000,2.983200,116.150000,6,27
CHEMBL3218891,9,0,488.592000,3.319620,87.300000,8,36
CHEMBL2426678,7,0,469.589000,3.701600,71.450000,5,35
CHEMBL385803,9,4,566.706000,4.747400,120.080000,12,42
CHEMBL205445,8,5,469.611000,3.886300,133.220000,10,33
CHEMBL377515,8,5,413.503000,2.470000,133.220000,7,29
CHEMBL223638,7,4,575.544000,6.037000,101.620000,10,40
CHEMBL359530,5,1,383.879000,5.401920,58.370000,6,27
CHEMBL178494,5,1,404.297000,5.665220,58.370000,5,27
CHEMBL211211,8,6,440.507000,4.668800,128.180000,7,33
CHEMBL181736,5,1,446.378000,6.617720,58.370000,7,30
CHEMBL1078498,7,5,438.553000,4.411200,113.320000,7,31
CHEMBL2163455,17,12,719.848000,-0.757700,272.550000,19,52
CHEMBL1080938,6,1,424.504000,4.216600,69.300000,3,32
CHEMBL1082211,5,1,423.516000,4.821600,56.410000,3,32
CHEMBL2164831,6,2,467.784000,3.206100,64.680000,4,30
CHEMBL363896,5,1,432.351000,6.309300,58.370000,7,29
CHEMBL3581036,8,2,591.115000,6.363700,97.720000,11,43
CHEMBL2011832,8,2,554.691000,5.239600,90.980000,8,41
CHEMBL212354,8,6,406.490000,3.554700,128.180000,7,30
